epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57536,1.79723,4.96986,1.17951,0.0026,0.25904,0.0338,0.01601,1.26515,4.34603,0.96174,0.00017136,0.00017136,0.00017136
2,4.72692,1.6179,3.76668,1.02123,0.00964,0.93153,0.15593,0.0958,1.2809,3.38535,0.95872,0.000346396,0.000346396,0.000346396
3,6.85932,1.42167,2.98829,0.97928,0.62984,0.0687,0.31347,0.21917,1.18541,2.70766,0.96,0.000517898,0.000517898,0.000517898
4,8.94816,1.41285,2.71149,0.96724,0.53715,0.1586,0.39781,0.28092,1.17111,2.5872,0.96894,0.000685866,0.000685866,0.000685866
5,11.0405,1.33837,2.47579,0.94911,0.45225,0.37237,0.44616,0.32005,1.14505,2.29861,0.95809,0.000685726,0.000685726,0.000685726
6,13.1142,1.25911,2.30489,0.94725,0.45674,0.44501,0.51515,0.37601,1.07005,2.09463,0.93822,0.000678657,0.000678657,0.000678657
7,15.1888,1.24125,2.21539,0.92078,0.51987,0.58994,0.57165,0.43395,0.98083,1.86121,0.92037,0.000671588,0.000671588,0.000671588
8,17.2668,1.16852,2.06864,0.91495,0.48228,0.6417,0.61831,0.46713,1.01197,1.60447,0.91779,0.00066452,0.00066452,0.00066452
9,19.3344,1.13161,1.97571,0.9153,0.58097,0.67744,0.6779,0.5272,0.95073,1.47983,0.91613,0.000657451,0.000657451,0.000657451
10,21.6096,1.11974,1.91874,0.91338,0.64997,0.66894,0.7083,0.55574,0.93362,1.37354,0.9022,0.000650383,0.000650383,0.000650383
11,23.689,1.11317,1.82137,0.90592,0.67983,0.63844,0.73919,0.58496,0.88411,1.30292,0.89773,0.000643314,0.000643314,0.000643314
12,25.7753,1.10064,1.7557,0.8998,0.6252,0.74597,0.75583,0.59123,0.90348,1.32204,0.89087,0.000636245,0.000636245,0.000636245
13,27.8357,1.05576,1.67149,0.8893,0.74283,0.68626,0.78812,0.62572,0.85235,1.21967,0.89288,0.000629177,0.000629177,0.000629177
14,29.9042,1.02146,1.5669,0.89273,0.71921,0.74292,0.78899,0.63437,0.84121,1.08032,0.88427,0.000622108,0.000622108,0.000622108
15,31.982,1.05543,1.56481,0.89528,0.7305,0.7279,0.80972,0.64891,0.85055,1.06461,0.88524,0.00061504,0.00061504,0.00061504
16,34.0633,0.96345,1.47699,0.88476,0.72104,0.79648,0.82933,0.66622,0.82511,1.03766,0.87922,0.000607971,0.000607971,0.000607971
17,36.1577,1.01342,1.47806,0.88071,0.78696,0.68107,0.83529,0.67452,0.78349,1.08358,0.87393,0.000600902,0.000600902,0.000600902
18,38.239,0.97803,1.40822,0.88387,0.79127,0.76264,0.85155,0.70536,0.76918,1.02525,0.86789,0.000593834,0.000593834,0.000593834
19,40.3089,0.94727,1.38361,0.88337,0.74747,0.77989,0.8641,0.71504,0.75497,0.9946,0.86423,0.000586765,0.000586765,0.000586765
20,42.3903,0.94317,1.3451,0.86995,0.75521,0.79284,0.86345,0.71227,0.75076,1.01426,0.86456,0.000579697,0.000579697,0.000579697
21,44.4577,0.90702,1.2622,0.86454,0.77876,0.80094,0.87178,0.70321,0.7452,0.97697,0.86667,0.000572628,0.000572628,0.000572628
22,46.5425,0.95136,1.29793,0.87105,0.73577,0.84218,0.86734,0.70754,0.75745,0.94814,0.86468,0.000565559,0.000565559,0.000565559
23,48.6091,0.8733,1.20987,0.86283,0.7731,0.7892,0.86415,0.72017,0.73016,0.87523,0.85808,0.000558491,0.000558491,0.000558491
24,50.7819,0.93161,1.23313,0.86867,0.73521,0.83769,0.86753,0.72711,0.72008,0.87185,0.86003,0.000551422,0.000551422,0.000551422
25,52.8551,0.91864,1.25289,0.86521,0.80524,0.80471,0.88396,0.73846,0.70675,0.85193,0.85747,0.000544354,0.000544354,0.000544354
26,54.9268,0.90612,1.20725,0.86176,0.79078,0.8224,0.88921,0.74441,0.70416,0.82129,0.85931,0.000537285,0.000537285,0.000537285
27,56.997,0.90607,1.20439,0.86688,0.84765,0.77114,0.88005,0.73627,0.68095,0.85047,0.85564,0.000530216,0.000530216,0.000530216
28,59.068,0.88185,1.13731,0.85505,0.78797,0.8386,0.87789,0.73657,0.68187,0.81424,0.85205,0.000523148,0.000523148,0.000523148
29,61.1376,0.86388,1.13901,0.85853,0.84404,0.80207,0.88887,0.74236,0.7141,0.88203,0.85986,0.000516079,0.000516079,0.000516079
30,63.2092,0.90512,1.1291,0.86806,0.80778,0.83519,0.89236,0.7394,0.70636,0.85122,0.85968,0.000509011,0.000509011,0.000509011
